last_name,postnom,first_name,date_of_birth,gender,registration_number,classroom,email,notes
Tshomba,Mwamba,Deborah,2014-07-03,F,MAL-IMPORT-2026-0198,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Banza,Kalonji,Moise,2015-08-04,M,MAL-IMPORT-2026-0199,"5e primaire A",,"Import test dossier eleve MALUNGA"
Mulumba,Kakudji,Claudia,2016-09-05,F,MAL-IMPORT-2026-0200,"5e primaire B",,"Import test dossier eleve MALUNGA"
Mulumba,Mbayo,Blaise,2017-10-06,M,MAL-IMPORT-2026-0201,"3e primaire A",,"Import test dossier eleve MALUNGA"
Mulumba,Mujinga,Deborah,2018-11-07,F,MAL-IMPORT-2026-0202,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Kabongo,Ilunga,Eric,2019-12-08,M,MAL-IMPORT-2026-0203,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Kanku,Lukusa,Sarah,2008-01-09,F,MAL-IMPORT-2026-0204,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Kabongo,Kazadi,Fabrice,2009-02-10,M,MAL-IMPORT-2026-0205,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Tshomba,Kanku,Christelle,2010-03-11,F,MAL-IMPORT-2026-0206,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Mbayo,Kabasele,Patrick,2011-04-12,M,MAL-IMPORT-2026-0207,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Kitenge,Kabongo,Prisca,2012-05-13,F,MAL-IMPORT-2026-0208,"5e primaire A",,"Import test dossier eleve MALUNGA"
Mbuyi,Mputu,Christian,2013-06-14,M,MAL-IMPORT-2026-0209,"5e primaire B",,"Import test dossier eleve MALUNGA"
Kabasele,Mwamba,Francine,2014-07-15,F,MAL-IMPORT-2026-0210,"3e primaire A",,"Import test dossier eleve MALUNGA"
Kazadi,Banza,Patrick,2015-08-16,M,MAL-IMPORT-2026-0211,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Tshibangu,Mukendi,Merveille,2016-09-17,F,MAL-IMPORT-2026-0212,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Kalala,Mujinga,Jean,2017-10-18,M,MAL-IMPORT-2026-0213,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Kasongo,Ilunga,Divine,2018-11-19,F,MAL-IMPORT-2026-0214,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Ndaya,Kalonji,Fabrice,2019-12-20,M,MAL-IMPORT-2026-0215,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Kambale,Kabongo,Grace,2008-01-21,F,MAL-IMPORT-2026-0216,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Tshibangu,Kabasele,Patrick,2009-02-22,M,MAL-IMPORT-2026-0217,"5e primaire A",,"Import test dossier eleve MALUNGA"
Mushagalusa,Kabongo,Aline,2010-03-23,F,MAL-IMPORT-2026-0218,"5e primaire B",,"Import test dossier eleve MALUNGA"
Mputu,Mbuyi,Samuel,2011-04-24,M,MAL-IMPORT-2026-0219,"3e primaire A",,"Import test dossier eleve MALUNGA"
Kakudji,Ndaya,Naomie,2012-05-25,F,MAL-IMPORT-2026-0220,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Kalonji,Banza,David,2013-06-26,M,MAL-IMPORT-2026-0221,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Kabongo,Mbayo,Gloria,2014-07-27,F,MAL-IMPORT-2026-0222,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Ilunga,Mukendi,Kevin,2015-08-28,M,MAL-IMPORT-2026-0223,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Tshomba,Mukendi,Sarah,2016-09-01,F,MAL-IMPORT-2026-0224,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Mbayo,Kanku,Cedrick,2017-10-02,M,MAL-IMPORT-2026-0225,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Mwamba,Banza,Claudia,2018-11-03,F,MAL-IMPORT-2026-0226,"5e primaire A",,"Import test dossier eleve MALUNGA"
Tshomba,Nkongolo,Christian,2019-12-04,M,MAL-IMPORT-2026-0227,"5e primaire B",,"Import test dossier eleve MALUNGA"
Mwamba,Lukusa,Grace,2008-01-05,F,MAL-IMPORT-2026-0228,"3e primaire A",,"Import test dossier eleve MALUNGA"
Lwamba,Mputu,Prince,2009-02-06,M,MAL-IMPORT-2026-0229,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Lwamba,Kanku,Merveille,2010-03-07,F,MAL-IMPORT-2026-0230,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Kazadi,Mwamba,Emmanuel,2011-04-08,M,MAL-IMPORT-2026-0231,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Kabongo,Ndaya,Prisca,2012-05-09,F,MAL-IMPORT-2026-0232,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Kakudji,Kalala,Jacques,2013-06-10,M,MAL-IMPORT-2026-0233,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Ilunga,Kabasele,Clarisse,2014-07-11,F,MAL-IMPORT-2026-0234,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Lwamba,Kanku,Christian,2015-08-12,M,MAL-IMPORT-2026-0235,"5e primaire A",,"Import test dossier eleve MALUNGA"
Kanku,Kalonji,Cynthia,2016-09-13,F,MAL-IMPORT-2026-0236,"5e primaire B",,"Import test dossier eleve MALUNGA"
Ndaya,Banza,Cedrick,2017-10-14,M,MAL-IMPORT-2026-0237,"3e primaire A",,"Import test dossier eleve MALUNGA"
Kabila,Ndaya,Cynthia,2018-11-15,F,MAL-IMPORT-2026-0238,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Mulumba,Mbayo,Gloire,2019-12-16,M,MAL-IMPORT-2026-0239,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Kasongo,Kakudji,Patricia,2008-01-17,F,MAL-IMPORT-2026-0240,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Luboya,Mbayo,Daniel,2009-02-18,M,MAL-IMPORT-2026-0241,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Mujinga,Mwamba,Francine,2010-03-19,F,MAL-IMPORT-2026-0242,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Nkongolo,Mwamba,Cedrick,2011-04-20,M,MAL-IMPORT-2026-0243,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Luboya,Mukendi,Clarisse,2012-05-21,F,MAL-IMPORT-2026-0244,"5e primaire A",,"Import test dossier eleve MALUNGA"
Mputu,Nkongolo,Jacques,2013-06-22,M,MAL-IMPORT-2026-0245,"5e primaire B",,"Import test dossier eleve MALUNGA"
Kalala,Kabasele,Judith,2014-07-23,F,MAL-IMPORT-2026-0246,"3e primaire A",,"Import test dossier eleve MALUNGA"
Tshomba,Kabongo,Emmanuel,2015-08-24,M,MAL-IMPORT-2026-0247,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Nkongolo,Kitenge,Claudia,2016-09-25,F,MAL-IMPORT-2026-0248,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Kanku,Kitenge,Cedrick,2017-10-26,M,MAL-IMPORT-2026-0249,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Mwamba,Banza,Anita,2018-11-27,F,MAL-IMPORT-2026-0250,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Kabongo,Ndaya,Daniel,2019-12-28,M,MAL-IMPORT-2026-0251,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Kazadi,Mwamba,Noella,2008-01-01,F,MAL-IMPORT-2026-0252,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Luboya,Kazadi,Moise,2009-02-02,M,MAL-IMPORT-2026-0253,"5e primaire A",,"Import test dossier eleve MALUNGA"
Kalonji,Lukusa,Christelle,2010-03-03,F,MAL-IMPORT-2026-0254,"5e primaire B",,"Import test dossier eleve MALUNGA"
Nkongolo,Ndaya,David,2011-04-04,M,MAL-IMPORT-2026-0255,"3e primaire A",,"Import test dossier eleve MALUNGA"
Mwamba,Banza,Deborah,2012-05-05,F,MAL-IMPORT-2026-0256,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Lukusa,Mwamba,Blaise,2013-06-06,M,MAL-IMPORT-2026-0257,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Mulumba,Banza,Esther,2014-07-07,F,MAL-IMPORT-2026-0258,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Tshomba,Kazadi,Patrick,2015-08-08,M,MAL-IMPORT-2026-0259,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Banza,Mbuyi,Christelle,2016-09-09,F,MAL-IMPORT-2026-0260,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Mujinga,Mputu,Gloire,2017-10-10,M,MAL-IMPORT-2026-0261,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Kabila,Ilunga,Anita,2018-11-11,F,MAL-IMPORT-2026-0262,"5e primaire A",,"Import test dossier eleve MALUNGA"
Kabongo,Lwamba,David,2019-12-12,M,MAL-IMPORT-2026-0263,"5e primaire B",,"Import test dossier eleve MALUNGA"
Kalala,Banza,Chantal,2008-01-13,F,MAL-IMPORT-2026-0264,"3e primaire A",,"Import test dossier eleve MALUNGA"
Kanku,Kalala,Eric,2009-02-14,M,MAL-IMPORT-2026-0265,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Mujinga,Ndaya,Naomie,2010-03-15,F,MAL-IMPORT-2026-0266,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Ilunga,Nkongolo,Arnaud,2011-04-16,M,MAL-IMPORT-2026-0267,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Kalonji,Banza,Prisca,2012-05-17,F,MAL-IMPORT-2026-0268,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Kakudji,Lukusa,Prince,2013-06-18,M,MAL-IMPORT-2026-0269,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Kakudji,Kabasele,Esther,2014-07-19,F,MAL-IMPORT-2026-0270,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Kitenge,Kanku,Patrick,2015-08-20,M,MAL-IMPORT-2026-0271,"5e primaire A",,"Import test dossier eleve MALUNGA"
Kabongo,Lukusa,Merveille,2016-09-21,F,MAL-IMPORT-2026-0272,"5e primaire B",,"Import test dossier eleve MALUNGA"
Mwamba,Banza,Fabrice,2017-10-22,M,MAL-IMPORT-2026-0273,"3e primaire A",,"Import test dossier eleve MALUNGA"
Kanku,Ndaya,Clarisse,2018-11-23,F,MAL-IMPORT-2026-0274,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Kabongo,Banza,Christian,2019-12-24,M,MAL-IMPORT-2026-0275,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Kitenge,Mputu,Rebecca,2008-01-25,F,MAL-IMPORT-2026-0276,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Kasongo,Kazadi,Cedrick,2009-02-26,M,MAL-IMPORT-2026-0277,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Tshibangu,Ndaya,Benedicte,2010-03-27,F,MAL-IMPORT-2026-0278,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Lukusa,Kalonji,Kevin,2011-04-28,M,MAL-IMPORT-2026-0279,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Mujinga,Kalala,Deborah,2012-05-01,F,MAL-IMPORT-2026-0280,"5e primaire A",,"Import test dossier eleve MALUNGA"
Ilunga,Kanku,Junior,2013-06-02,M,MAL-IMPORT-2026-0281,"5e primaire B",,"Import test dossier eleve MALUNGA"
Kitenge,Mukendi,Deborah,2014-07-03,F,MAL-IMPORT-2026-0282,"3e primaire A",,"Import test dossier eleve MALUNGA"
Kalonji,Lukusa,Cedrick,2015-08-04,M,MAL-IMPORT-2026-0283,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Luboya,Lukusa,Clarisse,2016-09-05,F,MAL-IMPORT-2026-0284,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Lwamba,Mwamba,Moise,2017-10-06,M,MAL-IMPORT-2026-0285,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Kabasele,Lwamba,Divine,2018-11-07,F,MAL-IMPORT-2026-0286,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Mushagalusa,Banza,Prince,2019-12-08,M,MAL-IMPORT-2026-0287,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Kakudji,Lwamba,Esther,2008-01-09,F,MAL-IMPORT-2026-0288,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Kitenge,Mbuyi,Blaise,2009-02-10,M,MAL-IMPORT-2026-0289,"5e primaire A",,"Import test dossier eleve MALUNGA"
Kalala,Mbayo,Joelle,2010-03-11,F,MAL-IMPORT-2026-0290,"5e primaire B",,"Import test dossier eleve MALUNGA"
Mputu,Kanku,Kevin,2011-04-12,M,MAL-IMPORT-2026-0291,"3e primaire A",,"Import test dossier eleve MALUNGA"
Kambale,Kazadi,Divine,2012-05-13,F,MAL-IMPORT-2026-0292,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Lwamba,Nkongolo,Isaac,2013-06-14,M,MAL-IMPORT-2026-0293,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Kasongo,Ilunga,Joelle,2014-07-15,F,MAL-IMPORT-2026-0294,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Kakudji,Kitenge,Christian,2015-08-16,M,MAL-IMPORT-2026-0295,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Mujinga,Kakudji,Divine,2016-09-17,F,MAL-IMPORT-2026-0296,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Mbayo,Mwamba,Joel,2017-10-18,M,MAL-IMPORT-2026-0297,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Ndaya,Mujinga,Francine,2018-11-19,F,MAL-IMPORT-2026-0298,"5e primaire A",,"Import test dossier eleve MALUNGA"
Kakudji,Mputu,Emmanuel,2019-12-20,M,MAL-IMPORT-2026-0299,"5e primaire B",,"Import test dossier eleve MALUNGA"
Ilunga,Lukusa,Marie,2008-01-21,F,MAL-IMPORT-2026-0300,"3e primaire A",,"Import test dossier eleve MALUNGA"
Kambale,Nkongolo,Eric,2009-02-22,M,MAL-IMPORT-2026-0301,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Nkongolo,Kakudji,Rebecca,2010-03-23,F,MAL-IMPORT-2026-0302,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Kalonji,Nkongolo,Isaac,2011-04-24,M,MAL-IMPORT-2026-0303,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Lwamba,Mputu,Prisca,2012-05-25,F,MAL-IMPORT-2026-0304,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Ilunga,Kitenge,Albert,2013-06-26,M,MAL-IMPORT-2026-0305,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Luboya,Banza,Joelle,2014-07-27,F,MAL-IMPORT-2026-0306,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Mukendi,Kabongo,Samuel,2015-08-28,M,MAL-IMPORT-2026-0307,"5e primaire A",,"Import test dossier eleve MALUNGA"
Banza,Lwamba,Gloria,2016-09-01,F,MAL-IMPORT-2026-0308,"5e primaire B",,"Import test dossier eleve MALUNGA"
Kalala,Nkongolo,Jean,2017-10-02,M,MAL-IMPORT-2026-0309,"3e primaire A",,"Import test dossier eleve MALUNGA"
Ilunga,Mbuyi,Deborah,2018-11-03,F,MAL-IMPORT-2026-0310,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Kakudji,Lukusa,Patrick,2019-12-04,M,MAL-IMPORT-2026-0311,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Ndaya,Kalala,Joelle,2008-01-05,F,MAL-IMPORT-2026-0312,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Mulumba,Kazadi,Fabrice,2009-02-06,M,MAL-IMPORT-2026-0313,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Kalala,Ilunga,Aline,2010-03-07,F,MAL-IMPORT-2026-0314,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Kazadi,Nkongolo,Gloire,2011-04-08,M,MAL-IMPORT-2026-0315,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Kalonji,Kazadi,Joelle,2012-05-09,F,MAL-IMPORT-2026-0316,"5e primaire A",,"Import test dossier eleve MALUNGA"
Lukusa,Mputu,Arnaud,2013-06-10,M,MAL-IMPORT-2026-0317,"5e primaire B",,"Import test dossier eleve MALUNGA"
Kalala,Mbayo,Gloria,2014-07-11,F,MAL-IMPORT-2026-0318,"3e primaire A",,"Import test dossier eleve MALUNGA"
Ndaya,Mbuyi,Paul,2015-08-12,M,MAL-IMPORT-2026-0319,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Tshibangu,Kabongo,Grace,2016-09-13,F,MAL-IMPORT-2026-0320,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Lwamba,Ndaya,Arnaud,2017-10-14,M,MAL-IMPORT-2026-0321,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Luboya,Ilunga,Divine,2018-11-15,F,MAL-IMPORT-2026-0322,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Ndaya,Kitenge,Daniel,2019-12-16,M,MAL-IMPORT-2026-0323,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Mukendi,Banza,Marie,2008-01-17,F,MAL-IMPORT-2026-0324,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Kalala,Mukendi,Isaac,2009-02-18,M,MAL-IMPORT-2026-0325,"5e primaire A",,"Import test dossier eleve MALUNGA"
Tshibangu,Mwamba,Grace,2010-03-19,F,MAL-IMPORT-2026-0326,"5e primaire B",,"Import test dossier eleve MALUNGA"
Kasongo,Kakudji,Jean,2011-04-20,M,MAL-IMPORT-2026-0327,"3e primaire A",,"Import test dossier eleve MALUNGA"
Mujinga,Kakudji,Ruth,2012-05-21,F,MAL-IMPORT-2026-0328,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Tshomba,Mujinga,Samuel,2013-06-22,M,MAL-IMPORT-2026-0329,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Nkongolo,Kitenge,Grace,2014-07-23,F,MAL-IMPORT-2026-0330,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Kanku,Mukendi,Blaise,2015-08-24,M,MAL-IMPORT-2026-0331,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Ilunga,Kabongo,Joelle,2016-09-25,F,MAL-IMPORT-2026-0332,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Mbayo,Ilunga,Jonathan,2017-10-26,M,MAL-IMPORT-2026-0333,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Mushagalusa,Lwamba,Francine,2018-11-27,F,MAL-IMPORT-2026-0334,"5e primaire A",,"Import test dossier eleve MALUNGA"
Mputu,Mukendi,Daniel,2019-12-28,M,MAL-IMPORT-2026-0335,"5e primaire B",,"Import test dossier eleve MALUNGA"
Lukusa,Kazadi,Naomie,2008-01-01,F,MAL-IMPORT-2026-0336,"3e primaire A",,"Import test dossier eleve MALUNGA"
Luboya,Mputu,Prince,2009-02-02,M,MAL-IMPORT-2026-0337,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Kalala,Kabongo,Ruth,2010-03-03,F,MAL-IMPORT-2026-0338,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Luboya,Mbuyi,Isaac,2011-04-04,M,MAL-IMPORT-2026-0339,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Lukusa,Kakudji,Gloria,2012-05-05,F,MAL-IMPORT-2026-0340,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Ilunga,Mputu,Prince,2013-06-06,M,MAL-IMPORT-2026-0341,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Mushagalusa,Mbuyi,Benedicte,2014-07-07,F,MAL-IMPORT-2026-0342,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Ilunga,Mujinga,Jacques,2015-08-08,M,MAL-IMPORT-2026-0343,"5e primaire A",,"Import test dossier eleve MALUNGA"
Banza,Kanku,Sarah,2016-09-09,F,MAL-IMPORT-2026-0344,"5e primaire B",,"Import test dossier eleve MALUNGA"
Lukusa,Kalonji,Jean,2017-10-10,M,MAL-IMPORT-2026-0345,"3e primaire A",,"Import test dossier eleve MALUNGA"
Mujinga,Lwamba,Naomie,2018-11-11,F,MAL-IMPORT-2026-0346,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Kitenge,Kazadi,Christian,2019-12-12,M,MAL-IMPORT-2026-0347,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Kasongo,Lukusa,Aline,2008-01-13,F,MAL-IMPORT-2026-0348,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Tshomba,Kitenge,Moise,2009-02-14,M,MAL-IMPORT-2026-0349,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Tshomba,Banza,Rebecca,2010-03-15,F,MAL-IMPORT-2026-0350,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Kabasele,Kalonji,Jean,2011-04-16,M,MAL-IMPORT-2026-0351,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Nkongolo,Ilunga,Naomie,2012-05-17,F,MAL-IMPORT-2026-0352,"5e primaire A",,"Import test dossier eleve MALUNGA"
Kalala,Lukusa,David,2013-06-18,M,MAL-IMPORT-2026-0353,"5e primaire B",,"Import test dossier eleve MALUNGA"
Ndaya,Nkongolo,Aline,2014-07-19,F,MAL-IMPORT-2026-0354,"3e primaire A",,"Import test dossier eleve MALUNGA"
Nkongolo,Mputu,Samuel,2015-08-20,M,MAL-IMPORT-2026-0355,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Mbuyi,Lwamba,Clarisse,2016-09-21,F,MAL-IMPORT-2026-0356,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Kabasele,Ilunga,Moise,2017-10-22,M,MAL-IMPORT-2026-0357,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Kazadi,Kabongo,Esther,2018-11-23,F,MAL-IMPORT-2026-0358,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Kabila,Kalala,Moise,2019-12-24,M,MAL-IMPORT-2026-0359,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Mujinga,Kakudji,Aline,2008-01-25,F,MAL-IMPORT-2026-0360,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Kabasele,Kalonji,Kevin,2009-02-26,M,MAL-IMPORT-2026-0361,"5e primaire A",,"Import test dossier eleve MALUNGA"
Kabila,Kakudji,Christelle,2010-03-27,F,MAL-IMPORT-2026-0362,"5e primaire B",,"Import test dossier eleve MALUNGA"
Mwamba,Mputu,Gloire,2011-04-28,M,MAL-IMPORT-2026-0363,"3e primaire A",,"Import test dossier eleve MALUNGA"
Nkongolo,Kabongo,Claudia,2012-05-01,F,MAL-IMPORT-2026-0364,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Lwamba,Kitenge,Arnaud,2013-06-02,M,MAL-IMPORT-2026-0365,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Mushagalusa,Kanku,Sarah,2014-07-03,F,MAL-IMPORT-2026-0366,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Mputu,Mbuyi,Patrick,2015-08-04,M,MAL-IMPORT-2026-0367,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Tshibangu,Mwamba,Divine,2016-09-05,F,MAL-IMPORT-2026-0368,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Kabasele,Kanku,Joseph,2017-10-06,M,MAL-IMPORT-2026-0369,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Kabila,Mputu,Patricia,2018-11-07,F,MAL-IMPORT-2026-0370,"5e primaire A",,"Import test dossier eleve MALUNGA"
Tshibangu,Banza,Emmanuel,2019-12-08,M,MAL-IMPORT-2026-0371,"5e primaire B",,"Import test dossier eleve MALUNGA"
Kazadi,Mujinga,Merveille,2008-01-09,F,MAL-IMPORT-2026-0372,"3e primaire A",,"Import test dossier eleve MALUNGA"
Mbuyi,Kabasele,Jacques,2009-02-10,M,MAL-IMPORT-2026-0373,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Mushagalusa,Kabongo,Deborah,2010-03-11,F,MAL-IMPORT-2026-0374,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Lwamba,Kitenge,Isaac,2011-04-12,M,MAL-IMPORT-2026-0375,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Ndaya,Mukendi,Cynthia,2012-05-13,F,MAL-IMPORT-2026-0376,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Mushagalusa,Mukendi,Fabrice,2013-06-14,M,MAL-IMPORT-2026-0377,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Kabila,Kalala,Divine,2014-07-15,F,MAL-IMPORT-2026-0378,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Kalala,Ilunga,Christian,2015-08-16,M,MAL-IMPORT-2026-0379,"5e primaire A",,"Import test dossier eleve MALUNGA"
Mbuyi,Kalonji,Christelle,2016-09-17,F,MAL-IMPORT-2026-0380,"5e primaire B",,"Import test dossier eleve MALUNGA"
Kasongo,Kabongo,Jean,2017-10-18,M,MAL-IMPORT-2026-0381,"3e primaire A",,"Import test dossier eleve MALUNGA"
Mulumba,Kitenge,Patricia,2018-11-19,F,MAL-IMPORT-2026-0382,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Kabongo,Mputu,Moise,2019-12-20,M,MAL-IMPORT-2026-0383,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Kasongo,Mukendi,Chantal,2008-01-21,F,MAL-IMPORT-2026-0384,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Mutombo,Mbayo,Jonathan,2009-02-22,M,MAL-IMPORT-2026-0385,"2e maternelle A",,"Import test dossier eleve MALUNGA"
Mukendi,Lukusa,Cynthia,2010-03-23,F,MAL-IMPORT-2026-0386,"3e maternelle A",,"Import test dossier eleve MALUNGA"
Kasongo,Kanku,Fabrice,2011-04-24,M,MAL-IMPORT-2026-0387,"1ère maternelle B",,"Import test dossier eleve MALUNGA"
Mujinga,Kalonji,Naomie,2012-05-25,F,MAL-IMPORT-2026-0388,"5e primaire A",,"Import test dossier eleve MALUNGA"
Banza,Kazadi,Moise,2013-06-26,M,MAL-IMPORT-2026-0389,"5e primaire B",,"Import test dossier eleve MALUNGA"
Banza,Mbuyi,Claudia,2014-07-27,F,MAL-IMPORT-2026-0390,"3e primaire A",,"Import test dossier eleve MALUNGA"
Kalala,Kabongo,Junior,2015-08-28,M,MAL-IMPORT-2026-0391,"1ère secondaire HP A",,"Import test dossier eleve MALUNGA"
Mbala,Kanku,Aline,2016-09-01,F,MAL-IMPORT-2026-0392,"1ère secondaire MECANIQUE A",,"Import test dossier eleve MALUNGA"
Mutombo,Mwamba,Prince,2017-10-02,M,MAL-IMPORT-2026-0393,"1ère maternelle A",,"Import test dossier eleve MALUNGA"
Ilunga,Mbayo,Rebecca,2018-11-03,F,MAL-IMPORT-2026-0394,"2e maternelle A",,"Import test dossier eleve MALUNGA"
